"Sentence","Sentiment"
"Os pedidos de produtos de processo são para a instalação de equipamentos de filtração de separação em três projetos de gasoduto de gás natural na China, América do Sul e Arábia Saudita.","neutral"
"Grupo Intertek anuncia atualização estratégica delineando seu plano","neutral"
"Barclays contrata o novo diretor de operações Paul Compton do JP Morgan Chase","neutral"
"A divisão de private equity do FL Group administra todas as empresas operacionais, incluindo o Icelandair Group, FL Travel Group, Bluebird e Sterling.","neutral"
"Pode ser qualquer um de nÃ³s a qualquer momentoâeuros?, disse ela.","neutral"
"``A Marimekko opera numa indústria em que as mudanças no clima de negócios se reflectem na procura dos consumidores.","neutral"
"Juha-Pekka Weckstr+Ãm foi nomeado presidente do grupo de telecomunicaÃ§Ãµes TeliaSonera FinlÃ¢ndia para suceder Esa Rautalinko.","neutral"
"Não foram divulgados detalhes de preços.","neutral"
"Para atingir as metas de sinergia relacionadas à aquisição, a Vaisala está consolidando suas atividades de manufatura, depósito e serviços de dados, além de atividades financeiras atualmente localizadas em Uniontown, Pensilvânia, St. Louis, Missouri e Durham, Carolina do Norte.","neutral"
"De Merisatama aos cantos distantes do mundo Asfaltti Osakeyhti+Lemmink+ñinen foi estabelecido em 1910 por um grupo de mestres construtores em Helsinque como um negócio e subcontratado especializados.","neutral"
"Por que $TWTR está condenado em 1 gráfico $FB $GOOG https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP","neutral"
"O valor total estimado inicial foi de 1744900 EUR e o valor final do prêmio foi de 1744900 EUR.","neutral"
"E Ogden supostamente desembolsará US$ 4,2 milhões.","neutral"
"Copyright AFX News e Afx Financial News Logo são marcas registradas da AFX News Limited","neutral"
"Conforme relatado em 26 de junho, âeurosambos os circuitos continuaram a relatar alternadamente a via como vazia e depois ocupada quase constantemente desde 17 de junho, quando parte do dispositivo de sinalizaÃ§Ã£o da via foi substituÃ­da, atÃ© o momento do acidente, de acordo com a fonte do MetrÃ´âeuros?. ''","neutral"
"A família de produtos QPR é totalmente compatível com o sistema operacional Windows 7 da Microsoft.","neutral"
"A subsidiÃ¡ria sueca detÃ©m 1,0% de royalties de retorno lÃ­quido de fundiÃ§Ã£o `` NSR '' sobre dois projetos avanÃ§ados de cobre no norte da SuÃ©cia âeuros os Projetos Viscaria e Adak âeuros sendo desenvolvidos pela Avalon Minerals Ltd. ASX: AVI.","neutral"
"Um acordo de 2001 expirou no início deste mês.","neutral"
"O empreendimento, que será detido em 51% pela Kemira e em 49% pela IVRCL, irá operar uma unidade de produção de coagulantes inorgânicos, a ser construída em Vishakapatnam Vizag, no estado de Andhra Pradesh, e a iniciar as operações no segundo semestre de 2011.","neutral"
